entrez_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_id,hgnc_symbol,weight
10,0.0139164586438969,8.92857161554328e-12,0.60107873539107,0.54898013935515,0.983301448500064,-5.89905721311903,ENSG00000156006,NAT2,0.991819943537787
100,0.100997345830268,-3.57142904717851e-11,1.99852616955629,0.0480381890780863,0.770157413074952,-4.19645357462951,ENSG00000196839,ADA,0.881106216243632
1000,0.0427387334343704,-4.46428554059325e-11,1.1865858137498,0.23785652926601,0.920799301049317,-5.40272839028159,ENSG00000170558,CDH2,0.974088830546422
10000,0.00822997810682282,0.00725034557975667,0.535323846926123,0.593468079947235,0.983780221678051,-5.93467306864376,ENSG00000117020,AKT3,0.992820729278096
10001,-0.0544960332387122,-5.3571427722335e-11,-1.91004032786682,0.0586391287925773,0.787899979229223,-4.35615242844777,ENSG00000133997,MED6,0.898431712328112
10002,0.0052675444940816,0.00441440353307532,0.377180410070981,0.706740350313084,0.987408755754535,-6.0035235501422,ENSG00000278570,NR2E3,0.994757180178336
10003,0.019435615491172,-2.6785712639504e-11,0.807638976766596,0.420979439176687,0.968571518913547,-5.76059729647566,ENSG00000077616,NAALAD2,0.987687143690146
10004,0.0292577630924118,8.92857024673804e-12,0.725109118262011,0.469869987869886,0.976701107917728,-5.82074334089041,ENSG00000168060,NAALADL1,0.989541035354162
10005,0.0167076548327028,-7.14285723125464e-11,0.530860555435188,0.596547501638836,0.983780221678051,-5.93694204247093,ENSG00000101473,ACOT8,0.992884076442829
10006,0.00905182394402011,-0.00542656649931197,0.38369840742122,0.701916234675349,0.987408755754535,-6.0011558362557,ENSG00000136754,ABI1,0.994688752765421
10007,0.0261900211941946,-4.46428590525303e-11,0.692275625914963,0.490171111628346,0.977015228637235,-5.84288830601037,ENSG00000113552,GNPDA1,0.990199264324374
10008,-0.0230437545096112,-1.78571417596693e-11,-0.782173063667765,0.435733526433035,0.972458619388536,-5.77983967564169,ENSG00000175538,KCNE3,0.988291398769469
10009,-0.0337838335782678,4.46428572723091e-11,-0.728121074213614,0.468031539624338,0.976701107917728,-5.8186610008851,ENSG00000177485,ZBTB33,0.989478506221577
1001,-0.00976733014191018,-2.67857160915263e-11,-0.481115638830218,0.631355917306242,0.986309102804256,-5.96095087479496,ENSG00000062038,CDH3,0.993553616310417
10010,-0.00678750000409571,-0.00998904495563138,-0.340752687783222,0.733916563965308,0.987598685852678,-6.01601111594409,ENSG00000136560,TANK,0.995123769434054
10011,0.0159807976116945,-6.54393454107322e-19,0.57752770964798,0.564721254608662,0.983780221678051,-5.91228441358579,ENSG00000213523,SRA1,0.992193369501411
100125288,0.00197417274189151,8.56713323794349e-19,0.0842052843784926,0.933040822055874,0.997321228775919,-6.06810011092119,ENSG00000220201,ZGLP1,0.997075168913021
100127983,-0.012014464028667,-8.92857246354426e-12,-0.557416100376441,0.578335381024246,0.983780221678051,-5.92316397821457,ENSG00000253250,C8orf88,0.992498837250612
100128731,-0.00404533616576802,-6.24999993340061e-11,-0.0868788420963561,0.930920143562101,0.997321228775919,-6.06788146115582,ENSG00000228474,OST4,0.997059533726404
100129407,0.0458421386837916,3.57142856335329e-11,1.82067453806755,0.0712778092482584,0.814277753883464,-4.51056909946672,ENSG00000275520,FAM236A,0.913619397164705
100129480,0.00376525590629644,-2.67857133558518e-11,0.166095813852442,0.868375593423024,0.995466121980987,-6.05830281933421,ENSG00000225526,MKRN2OS,0.996556468881067
100129520,0.0120900220666325,8.92856992728561e-12,0.439440418353613,0.661173826662682,0.987229676785424,-5.97925535960922,ENSG00000282815,TEX13C,0.99406608306803
100129842,-0.019875340683579,4.0173562641204e-20,-0.931380500171777,0.35362385504765,0.957021011189872,-5.65844112667416,ENSG00000237440,ZNF737,0.984284059216122
10013,0.0544260832617623,-7.14285731024652e-11,1.08516577690154,0.280136361421049,0.93711991506059,-5.51157441793815,ENSG00000094631,HDAC6,0.978744780925803
100130086,0.0440995517312854,3.57142837061699e-11,1.8058799665442,0.0735742260986642,0.820106831616522,-4.53546232165559,ENSG00000268738,HSFX2,0.915926142840626
100130301,0.0148573916999123,1.78571430084379e-11,0.605067193229738,0.546336199068272,0.982976874285433,-5.89676513659193,ENSG00000274443,C8orf89,0.991754971123435
100130311,0.00924987879183531,-1.6071428602078e-10,0.371482035012578,0.710967652941723,0.987408755754535,-6.00556038155337,ENSG00000205710,C17orf107,0.994816284116848
100130705,0.0165177920906961,-3.57142854650943e-11,0.699442049317135,0.485699686119001,0.977015228637235,-5.83814155221608,ENSG00000272899,ATP6V1FNB,0.990059186835087
100130742,0.0162878158906388,7.14285699132651e-11,0.724138503906814,0.470463295156208,0.976701107917728,-5.82141256172796,ENSG00000214954,LRRC69,0.98956110716495
100130827,-0.000167370327933594,8.92857303081433e-12,-0.0072107517775743,0.994259298200503,0.999559184576057,-6.07146481614046,ENSG00000231274,SBK3,0.997491549628199
100130988,0.0166807573163662,8.9285714309385e-11,0.772177029525901,0.441606490608866,0.975094638293569,-5.78722623078352,ENSG00000164500,SPATA48,0.988520493145927
100131211,-0.0341756383873487,3.75000000824864e-10,-1.61447618654537,0.109187079016062,0.855754527933717,-4.84017494138144,ENSG00000189362,NEMP2,0.941091092400222
100131378,0.0164949621152635,-9.82142844549631e-11,0.820600100539847,0.413585681855121,0.967422086656692,-5.75056981522745,ENSG00000205177,C11orf91,0.98736787850445
100131755,-0.0214267152567703,-1.78571439300097e-11,-0.893066493291152,0.373701827754124,0.964590492563788,-5.69160340097627,ENSG00000196440,ARMCX4,0.985426460966808
